time	async_{1000}	time	sync	time	async_{2000}	time	async_{4000}	time	async_p	time	async_d	time	async_p_d
1	2.19339E+14	1	5.27E+13	1	2.16747E+14	1	2.1791E+14	1	2.19E+14	1	2.20613E+14	1	2.20E+14
2	1.69124E+14	7	4.81E+13	2	1.64137E+14	3	1.62514E+14	2	1.63E+14	2	1.67438E+14	2	1.72E+14
3	1.24445E+14	12	3.87E+13	3	1.1334E+14	4	1.07691E+14	3	1.08E+14	3	1.17772E+14	3	1.22E+14
4	8.38529E+13	17	2.99E+13	4	6.75366E+13	5	5.76952E+13	4	5.91E+13	5	7.08746E+13	5	7.45E+13
6	6.20786E+13	21	2.15E+13	5	4.858E+13	6	3.79121E+13	5	4.22E+13	6	5.13578E+13	7	4.57E+13
7	4.25918E+13	26	1.46E+13	6	3.7489E+13	7	3.05281E+13	6	3.58E+13	7	3.7918E+13	8	3.43E+13
8	2.91525E+13	30	9.87E+12	7	2.21133E+13	8	2.24869E+13	7	2.46E+13	8	2.45033E+13	9	2.17E+13
9	2.05001E+13	35	6.93E+12	8	1.72378E+13	9	1.63919E+13	8	1.66E+13	9	1.83888E+13	10	1.54E+13
10	1.66113E+13	40	4.81E+12	10	1.42027E+13	10	1.27068E+13	9	1.30E+13	10	1.51922E+13	11	1.23E+13
11	1.32167E+13	46	3.38E+12	11	1.08467E+13	12	9.30275E+12	11	8.84E+12	11	1.10443E+13	12	9.27E+12
13	1.08187E+13	51	2.43E+12	12	7.86564E+12	13	7.04648E+12	12	7.01E+12	12	8.28802E+12	13	6.63E+12
14	9.35478E+12	56	1.74E+12	13	6.64793E+12	14	5.7032E+12	13	5.35E+12	14	6.275E+12	14	4.77E+12
15	5.46694E+12	62	1.19E+12	14	5.17142E+12	15	4.20941E+12	14	4.05E+12	15	4.75821E+12	15	3.93E+12
16	4.19336E+12	67	8.29E+11	15	3.82031E+12	16	3.02915E+12	15	3.01E+12	16	3.99711E+12	17	3.17E+12
17	3.91302E+12	73	6.07E+11	16	3.04973E+12	17	2.60765E+12	16	2.49E+12	17	3.08497E+12	18	2.62E+12
18	3.18802E+12	78	4.57E+11	17	2.50438E+12	18	1.98746E+12	17	2.09E+12	18	2.79171E+12	19	1.85E+12
19	2.73548E+12	82	3.47E+11	18	2.18355E+12	19	1.58132E+12	18	1.64E+12	19	2.01977E+12	20	1.54E+12
20	2.36913E+12	86	2.41E+11	19	1.67311E+12	20	1.21707E+12	19	1.20E+12	20	1.6566E+12	21	1.28E+12
21	2.38069E+12	90	1.60E+11	21	1.30859E+12	22	9.76477E+11	21	9.91E+11	21	1.24671E+12	22	9.76E+11
22	2.1271E+12	93	1.16E+11	22	1.10575E+12	23	7.75936E+11	22	8.53E+11	22	1.05726E+12	23	7.16E+11
24	1.92955E+12	96	81077028608	23	7.26527E+11	24	6.4174E+11	23	6.21E+11	23	9.22019E+11	24	5.63E+11
25	1.79604E+12	98	60266406430	24	6.19658E+11	25	4.79034E+11	24	4.67E+11	25	5.90027E+11	25	4.29E+11
26	1.12286E+12	99	42515503033	25	4.59698E+11	26	4.27749E+11	25	3.82E+11	26	4.9534E+11	26	3.37E+11
27	9.65075E+11	100	29871082143	26	3.54174E+11	27	2.80032E+11	26	2.98E+11	27	3.45226E+11	28	2.11E+11
28	4.81691E+11	101	21266911553	27	2.42855E+11	28	1.64473E+11	27	1.79E+11	28	2.56595E+11	29	1.28E+11
29	3.8948E+11	102	15772962342	28	2.29209E+11	29	1.09521E+11	28	1.28E+11	29	1.85493E+11	30	47370913612
30	3.03994E+11	103	11035135052	29	71684665696	30	53887374441	29	67001645433	30	95761672333	31	26316843183
31	2.37834E+11	103	7409734910	30	56276108413	31	28869295482	30	25324920058	31	49339101225	32	9112858593
32	1.73438E+11	103	4847902818	32	43709291307	33	7512415159	31	13801799515	32	20945560850	33	1554918976
33	2.36831E+11	104	2823902331	33	21309595931	34	4715295906	33	6348256032	33	8653052019	34	1
35	1.00181E+11	104	1782817957	34	18123055502	35	150616	34	1793803438	34	1029523718		
36	71483314769	104	1347827905	35	7027210605	36	1	35	18947521	35	1		
37	1.02383E+11	104	868870155	36	218883570			36	1				
38	1.63318E+11	105	583783784	37	254951								
39	1.67791E+11	105	427145643	38	216105006								
40	1.21512E+11	105	356553060	39	253534								
41	1.1479E+11	105	281318969	40	4194139								
42	1.10663E+11	105	225737021	41	2580524								
43	9619132398	105	266627886	43	253534								
44	2569988850	105	192361871	44	257022								
46	1145160705	105	149908804	45	92709								
47	1659304244	105	96083680	46	1								
48	319266811	106	21377647										
49	160249738	106	14605760										
50	2543771801	106	5720491										
51	1170148149	106	1595536										
52	1367794928	106	598191										
53	2604986801	106	455440										
54	2802746804	106	127339										
55	2688200804	106	38822										
56	7187217197	106	12193										
58	2219556964	106	1040										
59	2871168060	107	1										
60	346431087												
61	1351288789												
62	5472739899												
63	1227398002												
64	466950680												
65	304996542												
66	2352801634												
67	303756347												
68	219914443												
70	1439846691												
71	139747716												
72	2535576203												
73	88309866												
74	2810643316												
75	2743425261												
76	275286705												
77	198729561												
78	238084487												
79	506616044												
80	216205086												
82	645500598												
83	361457111												
84	1805936346												
85	305938264												
86	320649598												
87	201398111												
88	1614602												
89	747619818												
90	170897434												
91	1074049438												
92	6743648192												
94	1899015851												
95	217885952												
96	193418890												
97	216307736												
98	215661966												
99	39400												
100	2537664317												
101	999144												
102	38052												
103	2241348891												
104	282951												
106	216783117												
107	3842784868												
108	107367574												
109	73329519												
110	136334128												
111	274139397												
112	640749												
113	2237191218												
114	1174729048												
115	175698925												
116	550503775												
118	484054295												
119	13967753												
120	126339783												
121	183307739												
122	605846648												
123	523010385												
124	1291845079												
125	1484166												
126	914635												
127	127301												
128	882691												
130	795601												
131	253534												
132	253804												
133	247103												
134	253860												
135	523677												
136	254188												
137	253534												
138	109												
139	261290												
140	254079												
142	281688												
143	89967033												
144	88170390												
145	347034642												
146	845107												
147	42955												
148	30143												
149	226611												
150	226611												
151	1												
