time	async_{1000}	time	async_d	time	async_p	time	async_p_d	time	sync
1	0.004312485	1	0.00399528	1	0.004286793	1	0.003688194	0	0
2	0.010667101	2	0.011058093	2	0.010622857	2	0.010401293	6	0.2
3	0.016354621	3	0.017259237	3	0.016233908	3	0.016538382	14	0.36
4	0.022317929	4	0.023797203	4	0.022215313	4	0.023103423	21	0.488
6	0.029879697	5	0.030736879	5	0.028934683	5	0.029909107	28	0.5904
7	0.04454104	6	0.038728673	6	0.045045367	6	0.038029307	35	0.67232
8	0.15929012	7	0.129088353	7	0.171531522	8	0.137722528	42	0.737856
9	0.195994416	8	0.233211509	8	0.412543139	9	0.386844743	49	0.7902848
10	0.21194498	9	0.233827198	9	0.587145282	10	0.643757874	56	0.83222784
11	0.232328417	10	0.234518886	10	0.708557849	11	0.770930644	62	0.865782272
12	0.232999172	11	0.235122821	11	0.808881337	12	0.845794	69	0.892625818
13	0.233932342	13	0.236086093	13	0.871275731	13	0.893887921	76	0.914100654
15	0.290500549	14	0.26358985	14	0.907740136	14	0.923957849	83	0.931280523
16	0.331574828	15	0.306241838	15	0.934438825	15	0.94403843	90	0.945024419
17	0.359365172	16	0.363810741	16	0.951201158	16	0.957591886	97	0.956019535
18	0.359589297	17	0.389449585	17	0.963196061	17	0.967455277	104	0.964815628
19	0.359926857	18	0.389591933	18	0.971557328	18	0.974573488	111	0.971852502
20	0.372181452	19	0.389795132	19	0.9774029	19	0.97988641	118	0.977482002
21	0.418444766	20	0.401230192	20	0.982117648	21	0.983743394	126	0.981985601
22	0.444091185	21	0.445449375	21	0.985566812	22	0.986606322	133	0.985588481
23	0.466036632	22	0.44555575	22	0.988252688	23	0.988967161	140	0.988470785
25	0.488156644	23	0.480607677	23	0.990539216	24	0.990965098	147	0.990776628
26	0.48820899	24	0.500920161	24	0.992203994	25	0.992616151	154	0.992621302
27	0.49591757	25	0.512082105	25	0.993583691	26	0.993985272	161	0.994097042
28	0.507599231	27	0.512131795	27	0.994742449	27	0.995077917	169	0.995277634
29	0.523156904	28	0.538585613	28	0.995680047	28	0.995977657	176	0.996222107
30	0.553570019	29	0.556565218	29	0.996509795	29	0.996736613	183	0.996977685
31	0.572997984	30	0.556587377	30	0.997192334	30	0.997399281	190	0.997582148
32	0.583086656	31	0.580574715	31	0.997757917	31	0.99795765	197	0.998065719
33	0.594205652	32	0.600842664	32	0.998197845	32	0.998403428	204	0.998452575
34	0.605287659	33	0.60085846	33	0.998603477	33	0.998751331	211	0.99876206
36	0.612345158	34	0.616996765	34	0.998923764	35	0.99902755	218	0.999009648
37	0.626624966	35	0.645291345	35	0.999165921				
38	0.633659203	36	0.645302797						
39	0.640667656	37	0.646173172						
40	0.66053449	38	0.659702009						
41	0.684258261	40	0.680703558						
42	0.689897699	41	0.686494813						
43	0.701321677	42	0.703519079						
44	0.706945844	43	0.716254284						
45	0.706949232	44	0.716260374						
47	0.715805181	45	0.722061462						
48	0.726311873	46	0.728923615						
49	0.737706253	47	0.749201714						
50	0.749279725	48	0.749544401						
51	0.755133928	49	0.765149009						
52	0.765566689	50	0.773010185						
53	0.776754249	51	0.773015666						
54	0.777514329	52	0.777655978						
55	0.785600113	53	0.787344099						
56	0.790168092	55	0.798945958						
58	0.793875358	56	0.810261846						
59	0.801080493	57	0.813856723						
60	0.811159745	58	0.8138578						
61	0.812746377	59	0.818415374						
62	0.824132481	60	0.825089571						
63	0.824980167	61	0.827834073						
64	0.834547953	62	0.843215632						
65	0.840864216	63	0.851087102						
66	0.844158531	64	0.851087664						
67	0.845647911	65	0.851087997						
69	0.845649491	66	0.854975444						
70	0.855371228	67	0.860073122						
71	0.857159278	69	0.862400194						
72	0.868550231	70	0.870581433						
73	0.874823031	71	0.88087084						
74	0.876519344	72	0.880871037						
75	0.876519422	73	0.882119908						
76	0.878367167	74	0.883056672						
77	0.88065765	75	0.888059259						
78	0.882486401	76	0.891811923						
80	0.894886386	77	0.897815268						
81	0.897574791	78	0.90469724						
82	0.898161819	79	0.905968131						
83	0.902694153	80	0.906214255						
84	0.902694461	81	0.906214502						
85	0.905988901	82	0.909576359						
86	0.907200987	84	0.916382768						
87	0.911803634	85	0.918252518						
88	0.918060145	86	0.924971437						
90	0.919242764	87	0.924971558						
91	0.919242943	88	0.924971745						
92	0.923096033	89	0.924971928						
93	0.925760954	90	0.929668821						
94	0.926750476	91	0.933106376						
95	0.929442852	92	0.935572838						
96	0.933064581	93	0.939680741						
97	0.933064883	94	0.939977396						
98	0.934312869	95	0.939977607						
99	0.936910714	96	0.9416054						
101	0.939070246	98	0.94499225						
102	0.942380834	99	0.94561372						
103	0.945254564	100	0.949529918						
104	0.946451897	101	0.949788383						
105	0.946604337	102	0.951982091						
106	0.947821226	103	0.952771113						
107	0.948454733	104	0.955164344						
108	0.950818222	105	0.956175456						
109	0.953400644	106	0.956615181						
110	0.953400751	107	0.957572418						
111	0.955552206	108	0.959700951						
113	0.95825702	109	0.962216924						
114	0.958763651	110	0.962330983						
115	0.958763721	112	0.965079933						
116	0.960018001	113	0.965292142						
117	0.961229797	114	0.965292162						
118	0.96272065	115	0.966057954						
119	0.965114243	116	0.967459297						
120	0.965519564	117	0.969773587						
121	0.965519632	118	0.971143771						
122	0.967011015	119	0.97223369						
124	0.968947729	120	0.972233741						
125	0.96898379	121	0.972233756						
126	0.969684839	122	0.972846431						
127	0.971053915	123	0.973442311						
128	0.972415686	124	0.975658297						
129	0.972415737	126	0.977288836						
130	0.973362351	127	0.977786971						
131	0.973993968	128	0.977787002						
132	0.975747866	129	0.977787047						
133	0.976007269	130	0.978456451						
135	0.976567986	131	0.978600354						
136	0.97697844	132	0.981219592						
137	0.977226467	133	0.981831073						
138	0.978856614	134	0.982229586						
139	0.979643802	135	0.982229617						
140	0.979851341	136	0.982377347						
141	0.979851357	137	0.982488201						
142	0.981198156	138	0.983761711						
143	0.98178113	139	0.984619032						
144	0.98204671	141	0.984975687						
145	0.982644379	142	0.985783685						
147	0.983117762	143	0.985817133						
148	0.983881075	144	0.985990549						
149	0.983881094	145	0.986184007						
150	0.984200357	146	0.987056837						
151	0.984758898	147	0.98767444						
152	0.985736378	148	0.987980557						
153	0.986248296	149	0.988350553						
154	0.986494187	150	0.988792431						
155	0.986494221	151	0.98892273						
156	0.986494258	152	0.989236446						
158	0.987747114	153	0.989645471						
159	0.988027678	154	0.989844513						
160	0.988207815	156	0.990348933						
161	0.98838778	157	0.99072086						
162	0.98844163	158	0.991138176						
163	0.989195378	159	0.991222011						
164	0.989380232	160	0.991515633						
165	0.989473608	161	0.991716378						
166	0.990010789	162	0.99179944						
167	0.990494722	163	0.992217544						
169	0.990710225	164	0.992660071						
170	0.990867592	165	0.99266008						
171	0.9909843	166	0.992946424						
172	0.991154584	167	0.993212508						
173	0.99169089	168	0.993212526						
174	0.992088525	169	0.993457833						
175	0.992177353	171	0.993840746						
176	0.992177371	172	0.994128058						
177	0.992694082	173	0.994283068						
178	0.992812391	174	0.994369634						
179	0.992862211	175	0.994570008						
181	0.993015326	176	0.994630446						
182	0.99325571	177	0.994819632						
183	0.993741884	178	0.995100885						
184	0.993741885	179	0.995302449						
185	0.993937258	180	0.995430945						
186	0.993961905	181	0.99549571						
187	0.99441225	182	0.99554993						
188	0.994412257	183	0.995752922						
189	0.994671372	185	0.995855706						
190	0.994680745	186	0.99609966						
192	0.994738938	187	0.99629337						
193	0.995088788	188	0.996396563						
194	0.99522578	189	0.996399936						
195	0.995279681	190	0.996474097						
196	0.995279689	191	0.996474103						
197	0.995759569	192	0.996687842						
198	0.995805165	193	0.996853399						
199	0.995805169	194	0.997091014						
200	0.99593041	195	0.997117253						
201	0.995940191	196	0.997179273						
202	0.996223738	197	0.997179277						
204	0.996238216	199	0.997179282						
205	0.99642938	200	0.997347655						
206	0.996444039	201	0.997474345						
207	0.99669276	202	0.997693801						
208	0.996744327	203	0.997743418						
209	0.996778819	204	0.99774342						
210	0.99679629	205	0.997743421						
211	0.996796295	206	0.997743427						
212	0.997050953	207	0.997796056						
213	0.997188535	208	0.99808621						
214	0.997194132	209	0.998190058						
216	0.997223425	210	0.998194734						
217	0.99743677	211	0.998194735						
218	0.99743703	212	0.998194738						
219	0.997443437	214	0.998194743						
220	0.997494889	215	0.998206387						
221	0.997595167	216	0.998410387						
222	0.997755299	217	0.998555787						
223	0.99782028	218	0.998555788						
224	0.997821561	219	0.998555788						
225	0.997821565	220	0.998555791						
227	0.997995909	221	0.998555795						
228	0.998019793	222	0.998596086						
229	0.998059186	223	0.998759236						
230	0.998078881	224	0.998792104						
231	0.998129139	225	0.99884463						
232	0.99812914	226	0.998844632						
233	0.998277281	227	0.998844634						
234	0.998294279	229	0.99885931						
235	0.998407519	230	0.998891908						
236	0.998438372	231	0.99900238						
237	0.99847621								
239	0.998503309								
240	0.99851756								
241	0.998519338								
242	0.998541567								
243	0.998644053								
244	0.998673583								
245	0.998777212								
246	0.998812149								
247	0.998815469								
248	0.998822375								
249	0.998833252								
251	0.998837832								
252	0.998864129								
253	0.998932409								
254	0.998986807								
255	0.998988081								
256	0.9990579								
