time	async_{1000}	time	async_{2000}	time	sync	time	async_{4000}	time	async_d	time	async_{block}
1	4776380	1	2822541	1	379	1	190584901	1	190584901	1	203078898
2	339144765	2	326410831	1	637	2	490949764	2	490949764	2	554383849
3	591153551	3	578011884	1	2678	3	710122705	3	710122705	3	906738685
4	757568739	5	767794015	1	7644	5	852910475	5	852910475	5	1135648030
5	878306682	6	883682704	1	40497	6	948956280	6	948956280	6	1227398344
6	973319849	7	994557216	1	119651	7	1022117969	7	1022117969	7	1483693618
8	1004070560	8	1022448768	1	405452	8	1068285546	8	1068285546	9	1557476817
9	1070431369	9	1094384266	1	1174218	9	1107301595	9	1107301595	10	1435625738
10	1085352857	10	1097181656	2	4319624	10	1126104369	10	1126104369	11	1640292306
11	1099335269	11	1153044041	2	10186877	11	1102325665	11	1102325665	12	1569367473
12	1121886064	12	1150501368	2	27156606	12	1142199032	12	1142199032	14	1389821336
13	1080316709	13	1074061126	3	64350244	13	1120103600	13	1120103600	15	1583176628
14	1120395788	15	1052396673	3	125595180	15	1084181485	15	1084181485	16	1379840024
15	1020990384	16	1036101355	4	223727560	16	1045670407	16	1045670407	17	1285720858
16	1013283347	17	1004746832	6	345597876	17	965660200	17	965660200	19	1132623914
18	955939983	18	911368079	8	468547413	18	909485921	18	909485921	20	930915737
19	913517740	19	855071432	11	597609403	19	854844027	19	854844027	21	830756245
20	821457635	20	786897286	13	739656622	20	737155529	20	737155529	22	648548290
21	740107096	21	685527109	16	859346176	21	690694857	21	690694857	23	388946394
22	695799160	22	516130210	19	941506426	22	462777410	22	462777410	25	147383782
23	559437170	23	403274776	22	993727571	23	308604199	23	308604199	26	54507507
24	468308722	24	281902851	25	1017636991	25	183629187	25	183629187	27	9218070
25	390879554	26	146091068	28	1016966676	26	115338077	26	115338077	28	1
26	280816573	27	123326999	30	995266810	27	41272943	27	41272943		
28	172945774	28	115874426	32	960066238	28	17243429	28	17243429		
29	104547065	29	81455836	34	913639789	29	839046	29	839046		
30	90837206	30	49925211	36	849168099	30	37481	30	1		
31	55832452	31	38798703	38	774102346	31	1				
32	63839709	32	35164854	39	689365634						
33	58549155	33	39504377	40	609877532						
34	39557441	34	20722479	41	530561164						
35	34604650	35	19590490	42	458097286						
36	24665361	37	13665092	43	397772421						
37	17641810	38	6848963	43	342801274						
39	13367726	39	34283	44	294717212						
40	9565437	40	522989	44	250769476						
41	579017	41	410603	45	205797397						
42	147974	42	440346	45	167348434						
43	2262007	43	377676	45	132994045						
44	714709	44	523078	46	101998273						
45	101982	45	194245	46	78822668						
46	1913818	46	424744	46	63898186						
47	610170	47	194156	46	51152569						
48	850320	49	226425	46	38267258						
50	3888935	50	224300	46	30329665						
51	2224911	51	193454	46	22693060						
52	519571	52	191998	46	16706696						
53	513378	53	193354	47	14334024						
54	2929506	54	217437	47	11680078						
55	539273	55	565591	47	8918452						
56	261534	56	194722	47	7375184						
57	1005554	57	9250	47	5529819						
58	1223114	58	176508	47	4242019						
59	382305	59	229682	47	3211822						
61	274495	61	11124	47	2573372						
62	306174	62	196837	47	1824687						
63	116184	63	195459	47	1355242						
64	306080	64	176932	47	730089						
65	1844587	65	200141	47	478978						
66	449270	66	219945	47	314305						
67	360968	67	209138	48	236778						
68	364072	68	388	48	154693						
69	225125	69	173642	48	61807						
70	419581	70	187021	48	47797						
72	361029	71	196348	48	47436						
73	544932	73	180875	48	44907						
74	291625	74	179242	48	43798						
75	3364066	75	187845	48	216						
76	1106170	76	402864	48	1						
77	332877	77	7828								
78	304713	78	1								
79	2116771										
80	727057										
81	2063782										
83	1413943										
84	449340										
85	386023										
86	1990104										
87	1280121										
88	584168										
89	309562										
90	1106378										
91	349838										
92	388110										
94	385691										
95	225611										
96	128421										
97	339048										
98	100395										
99	421569										
100	1042433										
101	974721										
102	397352										
103	407067										
105	265983										
106	321464										
107	346172										
108	228315										
109	211165										
110	152141										
111	74589										
112	421240										
113	205176										
114	297441										
116	81864										
117	359747										
118	601514										
119	628175										
120	364467										
121	142953										
122	527309										
123	410660										
124	510886										
125	262047										
127	336126										
128	812438										
129	1041492										
130	358565										
131	169949										
132	491734										
133	696164										
134	562374										
135	192391										
136	370298										
138	9147										
139	181712										
140	321514										
141	333662										
142	404265										
143	433267										
144	311647										
145	112980										
146	324890										
147	347622										
149	492555										
150	84911										
151	1901780										
152	1315762										
153	6698										
154	194189										
155	1										
