time	async_{4000}	time	async_{1000}	time	async_{2000}	time	async_p	time	async_d	time	async_p_d	time	sync
1	1.82443E+13	1	1.38988E+13	1	1.22254E+13	1	1.36194E+13	1	1.19913E+13	1	1.19412E+13	1	4.91E+12
2	3.77648E+12	2	1.59445E+12	2	1.42696E+12	3	1.39443E+12	2	1.48661E+12	2	1.5615E+12	13	2.48E+11
4	7.96453E+11	3	1.76606E+11	3	1.37551E+11	4	1.53854E+11	3	2.11674E+11	3	1.7829E+11	25	12076141871
5	1.59085E+11	4	21765990450	5	13871802068	5	15651071609	4	23381439463	4	19685235444	38	858648377
6	30419540962	6	2970052990	6	1794960469	6	1946834285	5	3036920096	6	2848085983	51	103953918
7	6411438946	7	538892136	7	324241735	7	269328766	7	486446287	7	572505615	62	19114901
8	1910239067	8	116543361	8	81324180	8	61614641	8	117304211	8	150519741	73	3900612
9	477090529	9	47517659	9	40326257	10	39851577	9	50653296	9	49915077	84	39
10	181315048	10	35263126	10	28070375	11	33399774	10	41066769	10	30295374	89	1
11	61338145	11	25152021	12	20873402	12	27171557	11	30412941	11	22689692		
12	38500600	12	19961663	13	19005532	13	20913286	13	20732648	13	21606466		
13	27527889	14	18237386	14	16235723	14	19425954	14	13991498	14	21481418		
14	21675945	15	14190352	15	12059068	15	18668733	15	11272813	15	18133405		
15	19780863	16	10611950	16	10105201	16	13671227	16	11071639	16	12506628		
17	17508465	17	9789247	17	9741932	18	10053578	17	10962075	17	10820690		
18	13601418	18	9626592	18	9685227	19	9746187	18	11083403	18	8956106		
19	19	19	9571867	20	9690399	20	9495934	20	10835340	19	2387075		
20	10063884	20	9490799	21	9592122	21	6959116	21	8868250	21	185869		
21	10006382	22	8881466	22	8330089	22	1448022	22	2273942	22	13002		
22	9913873	23	5924648	23	3578339	23	137004	23	174388	23	1019		
23	9500547	24	1776538	24	741542	24	13500	24	13445	24	81		
24	7945766	25	311814	25	109923	25	1154	25	812	25	4		
25	3599798	26	45057	26	15441	27	109	27	46	26	1		
26	728289	27	5706	27	1214	28	10	28	1				
27	122678	28	632	29	102	29	1						
28	18090	30	79	30	4	30	1						
29	2515	31	6	31	1								
30	346	32	1										
31	48	33	1										
32	1												
