t+M1:Z43ime	async_{1000}	time	async_{2000}	time	async_{4000}	time	async_p	time	async_d	time	async_p_d		sync
1	1949	1	1506	1	2084	1	56	1	393782948	1	429461350	1	15
3	323801629	3	336472660	3	344830439	3	596197181	2	493681440	3	487836251	1	29
4	533870608	4	613910674	4	689512785	4	583835817	4	447798294	4	450053089	1	1672
5	477267285	5	520271163	5	597729185	5	479632691	5	422024320	5	414678271	1	34871
6	433108311	6	462267128	6	508803835	6	426791830	6	404305611	6	399574678	1	729969
7	402716328	7	413993351	7	451899875	7	390414424	7	389352350	7	386435525	2	17565111
8	383507671	9	392813247	8	413908613	8	367556102	8	380975215	9	375177704	3	241851508
10	367650237	10	376422874	10	394730957	10	355027790	10	373710145	10	367807052	11	334691094
11	355266460	11	360090876	11	376517139	11	343221052	11	360118344	11	354963565	26	308396116
12	348437460	12	349861402	12	360790680	12	333406245	12	357074547	12	350332747	34	297604343
13	338903155	13	340395934	13	350549221	13	321546510	13	351776612	13	341241952	40	295213400
14	332927305	14	331018364	14	341237807	14	312987881	14	346035418	15	336391605	45	298710078
15	327554400	15	324451256	15	332585456	15	303778351	15	339112110	16	332645990	48	299016415
16	323379943	16	318108997	16	325278971	17	299083211	17	337925503	17	330302491	49	236226143
17	318290937	18	314099408	18	323139662	18	296929993	18	334761625	18	328748256	50	108431228
19	313546329	19	310772194	19	317539924	19	293313804	19	331978956	19	326718709	50	24421105
20	311057730	20	306421617	20	313600833	20	291169672	20	324555141	20	328671244	50	1767378
21	308692424	21	303512346	21	311312644	21	289837021	21	325620892	21	326996712	50	22681
22	303151662	22	301220942	22	308158144	22	289920204	22	321501259	23	320653901	50	1
23	301089645	23	295923229	23	303019885	23	288395551	24	316506173	24	249364446		
24	298030909	24	293156385	24	300464210	25	282701929	25	303642134	25	109023742		
25	294727644	25	292191118	26	299918291	26	240192269	26	264246156	26	12159291		
27	290844985	27	287962582	27	291868629	27	97047189	27	198072806	27	29707		
28	278946574	28	284538504	28	286622102	28	23710885	28	137545969	28	1		
29	271025693	29	277914254	29	273559954	29	131737	29	56568683				
30	264970100	30	258947849	30	255822394	30	1	31	1525133				
31	260716243	31	247574952	31	226667609			32	1				
32	257742696	32	212504540	32	160529612								
33	243482506	33	119118710	34	90166475								
34	216068890	35	44408485	35	3643469								
36	173727849	36	7970175	36	447								
37	155746529	37	59196	37	1								
38	143994262	38	1										
39	134995864												
40	118063035												
41	78461043												
42	46501385												
43	21834939												
45	8823922												
46	7878084												
47	6265919												
48	5681320												
49	4590126												
50	3823392												
51	3873052												
52	3370976												
54	3051243												
55	2763767												
56	2336847												
57	2063359												
58	1391679												
59	7602												
60	1												
