time	sync	time	async_{1000}	time	async_{2000}	time	async_{block}	time	async_d
1	127999999	1	127657055	1	127729940	1	134425172	1	127497180
12	127999983	2	127357392	2	126707232	4	139937325	3	127500546
20	127999854	3	126010710	3	126067814	7	136404838	4	127305356
27	127999051	4	124209286	5	123883722	9	92465173	5	127100202
28	127995336	6	122190311	6	121028163	11	86171188	6	126723044
30	127980677	7	116208507	7	111198836	21	113862057	8	126995878
30	127932196	8	117352845	8	108116550	24	50447223	9	127099316
31	127794277	12	118348109	13	105766999	25	62886279	10	126666731
32	127449601	17	46254223	18	89243720	27	86332037	13	119092179
32	126693409	23	56913459	24	43721390	28	116232183	18	100668885
32	125214601	24	10831941	25	37651261	29	114577669	24	46923559
33	122614651	25	4893539	26	7031495	31	64660807	25	2302604
33	118474071	26	792439	27	597607	32	15349380	26	1891304
34	112441696	27	141320	28	65093	33	1360132	27	94980
34	104365326	29	14140	29	8623	34	30615	28	446
34	94363254	30	1146	31	621	36	54	29	1
35	82844173	31	80	32	21	37	1		
35	70441986	32	1	33	1				
36	57909287	33	1						
36	45960989								
36	35181972								
37	25968046								
37	18468822								
37	12654980								
38	8352954								
38	5315359								
39	3261468								
39	1932562								
39	1105637								
40	610275								
40	325531								
40	167621								
41	82968								
41	39399								
42	17876								
42	7696								
42	3132								
43	1209								
43	420								
43	143								
44	46								
44	12								
45	3								
45	1								
45	1								
