time 	async_{d}	time	async_{1000}	time	async_{2000}
0	2	0	1000	0	2000
0	176	33.56	1000	33.47	2000
0	2812				
1	14049				
13	3252				
15	150				
15	17				
15	74				
16	11				
16	14				
16	18				
16	65				
16	8				
16	14				
16	24				
17	29				
17	38				
18	9				
18	25				
18	72				
18	17				
18	27				
18	35				
18	44				
18	83				
19	11				
19	20				
19	27				
19	64				
19	85				
20	17				
20	300				
21	13				
21	17				
21	98				
22	5				
22	1				
24	12				
24	16				
24	21				
24	31				
24	38				
24	10				
24	15				
24	22				
25	6				
28.5	6				
