	async_1000	async_d	async_p	async_p_d		sync
1	0.002611714	0.002846878	0.002788363	0.002861055	0	0
2	0.00748445	0.00791747	0.007532851	0.008173955	11	0.2
3	0.013576511	0.014987399	0.014002868	0.015370285	19	0.36
4	0.021520991	0.024114734	0.022456534	0.02421863	27	0.488
5	0.02983671	0.033437404	0.030757129	0.033339488	35	0.5904
6	0.0380364	0.042809	0.039037544	0.04269339	43	0.67232
7	0.047054929	0.054367305	0.04814561	0.054263662	51	0.737856
8	0.059089401	0.069343273	0.060558894	0.070265081	59	0.7902848
9	0.076461327	0.097667525	0.078567817	0.099573637	67	0.83222784
10	0.11494432	0.211674568	0.130355405	0.211223276	75	0.865782272
11	0.228116077	0.252487396	0.217771041	0.253016092	83	0.892625818
12	0.264055942	0.277690695	0.265718198	0.28219416	92	0.914100654
13	0.280912854	0.293324915	0.284489242	0.304539072	100	0.931280523
14	0.29580153	0.314431046	0.301745883	0.32801472	108	0.945024419
16	0.313076245	0.337145368	0.323640105	0.354532376	116	0.956019535
17	0.335734276	0.363799167	0.347210476	0.38383279	124	0.964815628
18	0.358939977	0.392760738	0.374575155	0.424165258	133	0.971852502
19	0.386352984	0.424399854	0.405444889	0.463291765	141	0.977482002
20	0.414068357	0.469735489	0.443460144	0.493331436	149	0.981985602
21	0.445030429	0.496981241	0.486625718	0.510038635	157	0.985588481
22	0.481652068	0.513882832	0.505233823	0.531656337	165	0.988470785
23	0.50335864	0.529351042	0.518948538	0.550836752	173	0.990776628
24	0.521618579	0.547605633	0.535592554	0.576464423	181	0.992621302
25	0.53606896	0.565624717	0.555538445	0.596224444	189	0.994097042
26	0.553165765	0.588426482	0.575324239	0.625141813	197	0.995277634
27	0.56886464	0.607095379	0.598845333	0.649499568	206	0.996222107
28	0.588482189	0.624140169	0.622253438	0.663707463	214	0.996977685
29	0.605769078	0.646937652	0.642711984	0.676401352	222	0.997582148
30	0.626621156	0.668740893	0.662875867	0.688837196	230	0.998065719
32	0.644171177	0.680956266	0.674117635	0.707248821	238	0.998452575
33	0.660848965	0.690660994	0.685492788	0.721818777	246	0.99876206
34	0.67631165	0.704094124	0.697736149	0.73800913	254	0.999009648
35	0.689112027	0.719946804	0.710529369	0.753625845		
36	0.700639166	0.733562718	0.725889097	0.767378142		
37	0.711006889	0.745520713	0.740898494	0.775533779		
38	0.721389982	0.757070063	0.754310033	0.784801802		
39	0.734351513	0.770460774	0.76997865	0.794430563		
40	0.745928041	0.784373242	0.778101019	0.805972788		
41	0.75994906	0.792575876	0.785177479	0.816209701		
42	0.770982902	0.799304706	0.794487352	0.828682869		
43	0.780935751	0.808762882	0.803393655	0.838574186		
44	0.788780304	0.817472463	0.813188439	0.845214466		
45	0.798261183	0.826035887	0.823111066	0.85121864		
46	0.805921027	0.834747267	0.832742309	0.857803059		
48	0.813011727	0.842291204	0.841955096	0.865228525		
49	0.820188882	0.851150737	0.848781645	0.872138964		
50	0.828117117	0.859232658	0.854734381	0.880120014		
51	0.835896442	0.865333279	0.860229682	0.887474372		
52	0.843036185	0.869717323	0.865710525	0.893157193		
53	0.852124382	0.876454899	0.87260209	0.897155154		
54	0.858669761	0.881946218	0.879181056	0.901421653		
55	0.863473851	0.887370489	0.885506914	0.905809276		
56	0.869774546	0.892972819	0.891308646	0.91071738		
57	0.87507816	0.898564832	0.896666157	0.915973245		
58	0.879817898	0.903533042	0.900447242	0.921631271		
59	0.884118784	0.908326997	0.904818813	0.925915884		
60	0.889055825	0.91230454	0.908594623	0.929096965		
61	0.894308927	0.916014965	0.913464619	0.93196602		
62	0.898479478	0.919680909	0.917153999	0.935002001		
64	0.903991353	0.923487356	0.921305741	0.938310643		
65	0.908033797	0.927411782	0.924904774	0.94129112		
66	0.911022976	0.931635441	0.928982808	0.945140925		
67	0.91474214	0.934276665	0.93269939	0.948012123		
68	0.918799742	0.937234931	0.935085859	0.95085753		
69	0.922022396	0.940254549	0.938107827	0.953031383		
70	0.92474136	0.942797361	0.940939359	0.954821851		
71	0.928055619	0.945455971	0.943975312	0.956835948		
72	0.931324808	0.947602487	0.946113997	0.959189303		
73	0.934642503	0.949538511	0.948576312	0.961502823		
74	0.937943894	0.95260471	0.951470771	0.963805353		
75	0.940453283	0.955274028	0.953868223	0.965861973		
76	0.94268875	0.956781206	0.955672668	0.967627545		
77	0.944767103	0.958627677	0.957500588	0.9689459		
78	0.94761007	0.960708181	0.959449639	0.970199935		
79	0.949636354	0.962932386	0.961643178	0.971862686		
81	0.951697562	0.964354762	0.963319368	0.973047343		
82	0.953825105	0.965713845	0.964931254	0.974989234		
83	0.955669523	0.967123451	0.966849873	0.976515111		
84	0.957752228	0.968980181	0.968558839	0.977355163		
85	0.959788265	0.970793563	0.97027833	0.978298848		
86	0.961557539	0.971814377	0.971416043	0.979380251		
87	0.962876539	0.972966316	0.97244764	0.980505002		
88	0.964312763	0.974425788	0.973769861	0.981348179		
89	0.96609112	0.975837536	0.975099872	0.982241915		
90	0.967628986	0.976621215	0.976210925	0.983532112		
91	0.968810914	0.977449219	0.977502677	0.984301045		
92	0.970063263	0.978578253	0.978604032	0.98491381		
93	0.971145752	0.979900912	0.9796693	0.98553898		
94	0.972522428	0.980755447	0.980439656	0.986291163		
95	0.973785002	0.981467314	0.981226319	0.987021141		
97	0.97496329	0.98233514	0.981884552	0.987621705		
98	0.975783581	0.983391847	0.982896238	0.988277115		
99	0.976612743	0.984118996	0.983661249	0.989109581		
100	0.97791049	0.984693048	0.984464924	0.98953486		
101	0.978955178	0.98535621	0.985270039	0.99000179		
102	0.979705511	0.986095566	0.986037443	0.990465054		
103	0.980490706	0.986787441	0.986560892	0.990958991		
104	0.981366223	0.987312645	0.987096458	0.991370606		
105	0.982108069	0.987847832	0.987569395	0.991843579		
106	0.983015469	0.98855914	0.988107341	0.992269008		
107	0.983730551	0.989070657	0.988744604	0.9926323		
108	0.984250937	0.989561675	0.989250446	0.993038477		
109	0.984788741	0.989919348	0.989890761	0.993364255		
110	0.98554721	0.990376442	0.990383992	0.993689507		
111	0.986327165	0.990821948	0.990792874	0.994009427		
113	0.986848855	0.991236564	0.991124975	0.994266259		
114	0.987350396	0.991583931	0.991471148	0.994588342		
115	0.987896798	0.991936854	0.991782438	0.994839843		
116	0.988290341	0.992402982	0.992211431	0.995136633		
117	0.988783895	0.992746188	0.992590587	0.995382528		
118	0.989327276	0.993023529	0.993013451	0.995592634		
119	0.989695483	0.993327171	0.993387471	0.995759925		
120	0.99014288	0.993640582	0.993638673	0.995970194		
121	0.990568258	0.993915669	0.993909647	0.996205279		
122	0.991024053	0.994173629	0.994165624	0.996399787		
123	0.991393833	0.994403736	0.994370055	0.996597935		
124	0.991773959	0.994693929	0.994658639	0.996751002		
125	0.992073685	0.994956642	0.99490905	0.996928214		
126	0.992348998	0.995193642	0.995160407	0.997046973		
127	0.992659899	0.995413956	0.99546381	0.997185844		
129	0.992997911	0.995585656	0.99561513	0.997310998		
130	0.993282987	0.995795387	0.995815453	0.997444127		
131	0.993556574	0.995941568	0.995980692	0.997595425		
132	0.993791294	0.996096794	0.996133329	0.997724637		
133	0.994118093	0.99626957	0.996313528	0.997840251		
134	0.99440843	0.996467536	0.996467837	0.997931722		
135	0.994636154	0.996667699	0.996669778	0.998026531		
136	0.994794263	0.996775254	0.996863413	0.998111221		
137	0.994984657	0.99690601	0.996999984	0.998205314		
138	0.995153663	0.997079041	0.997093824	0.998283931		
139	0.995365464	0.997209942	0.997221185	0.998391138		
140	0.995586912	0.997308476	0.997325835	0.998464872		
141	0.995743129	0.997411848	0.997454201	0.998537315		
142	0.995877052	0.997518622	0.997556033	0.99860386		
143	0.996119532	0.997640837	0.997674562	0.998672622		
145	0.996282519	0.99776816	0.997778406	0.998731084		
146	0.99645231	0.997842816	0.997925818	0.99878504		
147	0.996565831	0.997932036	0.997995834	0.998848903		
148	0.996681686	0.998049996	0.998057032	0.998917246		
149	0.996804965	0.998137925	0.998152495	0.998974931		
150	0.996948494	0.998201558	0.998216303	0.999014832		
151	0.997076473	0.998267491	0.998306672			
152	0.997176164	0.998331218	0.998391023			
153	0.997313417	0.998446289	0.998454884			
154	0.997429602	0.998504955	0.998542852			
155	0.997541354	0.998548237	0.998607673			
156	0.997643379	0.998620371	0.998651545			
157	0.997718761	0.998689372	0.998703532			
158	0.997793307	0.998745281	0.998763129			
159	0.997883552	0.998787255	0.998813206			
161	0.997967839	0.998833988	0.998882735			
162	0.998049239	0.998885493	0.998919487			
163	0.998127021	0.998957821	0.998982178			
164	0.998194891	0.998990651	0.999023602			
165	0.998271851	0.999022955				
166	0.998360484					
167	0.998421133					
168	0.998475723					
169	0.99853084					
170	0.998585692					
171	0.998633868					
172	0.998689524					
173	0.998747893					
174	0.998785435					
175	0.998846201					
177	0.998894685					
178	0.998933826					
179	0.998981275					
180	0.999020561					
