time	sync	time	async_{1000}	time	async_{2000}	time	async_{block}		async_d
5	1.51E+16	1	2.06E+16	1	2.06E+16	1	2.37E+16	1	2.05E+16
5	72350	2	1.76E+16	2	1.76E+16	2	2.24E+16	2	1.74E+16
5	3909679	3	1.62E+16	3	1.63E+16	4	1.73E+16	3	1.59E+16
7	47318119	4	1.49E+16	4	1.50E+16	6	9.79E+15	4	1.45E+16
12	80353845	5	1.36E+16	5	1.37E+16	7	7.63E+15	5	1.29E+16
19	75123611	6	1.21E+16	6	1.22E+16	9	3.68E+15	6	1.15E+16
23	70545481	7	1.10E+16	7	1.11E+16	10	1.39E+12	7	1.03E+16
25	62300967	9	9.66E+15	9	9.89E+15	12	490336792	9	7.10E+15
26	42629935	10	4.60E+15	10	5.71E+15	13	572997169	10	1.64E+15
26	19536842	11	8.56E+14	11	8.79E+14	15	358274818	11	9.32E+14
26	6999862	12	7.34E+14	12	7.43E+14	16	408081903	12	6.44E+14
26	2543410	13	6.44E+14	13	6.42E+14	18	410478246	13	5.06E+14
27	997515	14	5.24E+14	14	5.16E+14	19	303652909	14	3.57E+14
27	729134	15	3.81E+14	15	3.62E+14	21	380992283	15	1.83E+14
27	512045	16	2.52E+14	16	2.30E+14	22	251740637	16	4.75E+13
27	422337	17	7.25E+13	17	6.04E+13	24	311218237	17	1.12E+13
27	322274	18	1.35E+13	18	3.81E+14	25	236651325	18	9.12E+11
27	238110	19	52539846	19	2.52E+14	27	213069731	19	45683982
27	139477	20	53832374	20	49994914	28	146274299	20	31956708
27	116733	22	48688640	22	47564632	29	23747340	22	5207597
27	99525	23	41972909	23	34684146	30	91487	23	59032
27	96713	24	15907264	24	15582326	32	66632	24	847
28	84171	25	123430	25	66993	33	107809	25	1
28	92969	26	64273	26	67106	34	98901		
28	92329	27	70868	27	105205	35	128420		
28	131291	28	79643	28	56363	36	85492		
28	112373	29	109273	29	106555	37	69300		
28	112163	30	136146	30	65568	38	47530		
28	112715	31	176339	31	109162	39	1		
28	111211	32	149987	32	90211				
28	99639	33	117638	33	57592				
28	93319	34	91511	34	51019				
28	65940	36	41148	36	80145				
29	60197	37	63169	37	105227				
29	59937	38	52001	38	46516				
29	61801	39	44722	39	85359				
29	59835	40	36577	40	77207				
29	60518	41	92365	41	39413				
29	59409	42	152346	42	1				
29	65324	43	46820						
29	72866	44	1						
29	76417								
29	73032								
29	74717								
29	85506								
30	82593								
30	81914								
30	79564								
30	75352								
30	76972								
30	77151								
30	79424								
30	74803								
30	78004								
30	76819								
30	74471								
31	77148								
31	75873								
31	75345								
31	73337								
31	69618								
31	72449								
31	82319								
31	87745								
31	84335								
31	83350								
31	83472								
32	79823								
32	85187								
32	82243								
32	67629								
32	65403								
32	72394								
32	72300								
32	68810								
32	74140								
32	74736								
32	67207								
32	64711								
33	63062								
33	76107								
33	78709								
33	76010								
33	82042								
33	74967								
33	62911								
33	69529								
33	73631								
33	71415								
33	80062								
33	87101								
34	88499								
34	96952								
34	108824								
34	103545								
34	95256								
34	94243								
34	90362								
34	81892								
34	80642								
34	81367								
34	82289								
34	87457								
35	94344								
35	111290								
35	108867								
35	99813								
35	100598								
35	100745								
35	86726								
35	79413								
35	83077								
35	72275								
35	75910								
36	80557								
36	82203								
36	89063								
36	83818								
36	89708								
36	92028								
36	97333								
36	100389								
36	108536								
36	106033								
36	101809								
37	100779								
37	92250								
37	88136								
37	88973								
37	87549								
37	86859								
37	85444								
37	85888								
37	84886								
37	82577								
37	82998								
37	83251								
38	80835								
38	109282								
38	136798								
38	134866								
38	123052								
38	101836								
38	88080								
38	87576								
38	84780								
38	88710								
38	97249								
39	114719								
39	113159								
39	134394								
39	142353								
39	143027								
39	131400								
39	139624								
39	123467								
39	112517								
39	120902								
39	139220								
39	151982								
40	154637								
40	163262								
40	150766								
40	147467								
40	137586								
40	128782								
40	112572								
40	101822								
40	83102								
40	67814								
40	62793								
41	54737								
41	56896								
41	59732								
41	89739								
41	97046								
41	93052								
41	104023								
41	95500								
41	71985								
41	73387								
41	93851								
41	93130								
42	80502								
42	75672								
42	79782								
42	102970								
42	102383								
42	85046								
42	115804								
42	120625								
42	104635								
42	116282								
42	116255								
43	93157								
43	78399								
43	72867								
43	72153								
43	68065								
43	55529								
43	60421								
43	58657								
43	82450								
43	85999								
43	75494								
43	77089								
44	87096								
44	93366								
44	102447								
44	80451								
44	95897								
44	112341								
44	103639								
44	106275								
44	121293								
44	125515								
44	119491								
44	110744								
45	148897								
45	172363								
45	154128								
45	162031								
45	153480								
45	123849								
45	121664								
45	148162								
45	144361								
45	147429								
45	133966								
46	113359								
46	114157								
46	106946								
46	121063								
46	117460								
46	100885								
46	107296								
46	93073								
46	97960								
46	102917								
46	93994								
47	101747								
47	105740								
47	106361								
47	106495								
47	106968								
47	90621								
47	82750								
47	73465								
47	72156								
47	79661								
47	82259								
47	93943								
48	92930								
48	93658								
48	92541								
48	95258								
48	94207								
48	83870								
48	85657								
48	84621								
48	73307								
48	60963								
48	68240								
48	89789								
49	112371								
49	113704								
49	106765								
49	105485								
49	77466								
49	55368								
49	52666								
49	54480								
49	51647								
49	59157								
49	57903								
49	63895								
50	61174								
50	64158								
50	67482								
50	61798								
50	66593								
50	71423								
50	80738								
50	81316								
50	99981								
50	106312								
50	105122								
50	108420								
50	96508								
51	73751								
51	57107								
51	68428								
51	84362								
